Epoch 049 | train 0.1881  93.30% | test(clean) 0.4829  86.07% | test(HF) 0.4832  85.98%
Epoch 050 | train 0.1800  93.63% | test(clean) 0.5027  85.89% | test(HF) 0.5032  85.87%
Epoch 051 | train 0.1660  94.01% | test(clean) 0.5315  85.12% | test(HF) 0.5312  85.06%
Epoch 052 | train 0.1638  94.15% | test(clean) 0.5022  86.03% | test(HF) 0.5020  86.10%
Epoch 053 | train 0.1511  94.58% | test(clean) 0.5048  86.27% | test(HF) 0.5041  86.23%
Epoch 054 | train 0.1471  94.75% | test(clean) 0.4821  86.74% | test(HF) 0.4818  86.69%
Epoch 055 | train 0.1367  95.11% | test(clean) 0.5004  86.41% | test(HF) 0.5009  86.44%
Epoch 056 | train 0.1335  95.15% | test(clean) 0.5098  86.48% | test(HF) 0.5102  86.49%
Epoch 057 | train 0.1313  95.28% | test(clean) 0.5052  86.78% | test(HF) 0.5054  86.70%
Epoch 058 | train 0.1220  95.55% | test(clean) 0.5019  86.54% | test(HF) 0.5020  86.50%
Epoch 059 | train 0.1160  95.91% | test(clean) 0.5170  86.66% | test(HF) 0.5167  86.70%
Epoch 060 | train 0.1065  96.23% | test(clean) 0.5142  86.60% | test(HF) 0.5141  86.64%
Epoch 061 | train 0.0997  96.51% | test(clean) 0.5134  86.68% | test(HF) 0.5136  86.68%
Epoch 062 | train 0.0976  96.53% | test(clean) 0.5119  86.74% | test(HF) 0.5118  86.70%
Epoch 063 | train 0.0923  96.71% | test(clean) 0.5203  86.94% | test(HF) 0.5202  87.00%
Epoch 064 | train 0.0892  96.82% | test(clean) 0.5315  86.93% | test(HF) 0.5311  87.01%
Epoch 065 | train 0.0867  97.03% | test(clean) 0.5162  86.91% | test(HF) 0.5161  86.87%
Epoch 066 | train 0.0814  97.20% | test(clean) 0.5327  86.88% | test(HF) 0.5327  86.90%
Epoch 067 | train 0.0769  97.37% | test(clean) 0.5372  86.81% | test(HF) 0.5368  86.79%
Epoch 068 | train 0.0727  97.50% | test(clean) 0.5527  86.69% | test(HF) 0.5535  86.69%
Epoch 069 | train 0.0713  97.54% | test(clean) 0.5434  86.91% | test(HF) 0.5430  86.89%
Epoch 070 | train 0.0668  97.70% | test(clean) 0.5405  86.91% | test(HF) 0.5404  86.95%
Epoch 071 | train 0.0634  97.83% | test(clean) 0.5410  86.94% | test(HF) 0.5409  86.98%
Epoch 072 | train 0.0630  97.86% | test(clean) 0.5433  86.81% | test(HF) 0.5433  86.82%
Epoch 073 | train 0.0615  97.96% | test(clean) 0.5439  87.13% | test(HF) 0.5433  87.17%
Epoch 074 | train 0.0629  97.80% | test(clean) 0.5401  87.00% | test(HF) 0.5398  87.01%
Epoch 075 | train 0.0576  98.09% | test(clean) 0.5452  87.05% | test(HF) 0.5444  87.04%
Epoch 076 | train 0.0581  98.04% | test(clean) 0.5413  87.06% | test(HF) 0.5412  87.06%
Epoch 077 | train 0.0568  98.09% | test(clean) 0.5423  87.11% | test(HF) 0.5424  87.15%
Epoch 078 | train 0.0581  98.08% | test(clean) 0.5419  87.14% | test(HF) 0.5419  87.13%
Epoch 079 | train 0.0555  98.17% | test(clean) 0.5415  87.18% | test(HF) 0.5417  87.19%
