Epoch 065 | train 0.0867  97.03% | test(clean) 0.5162  86.91% | test(HF) 0.5162  86.90%
Epoch 066 | train 0.0814  97.20% | test(clean) 0.5327  86.88% | test(HF) 0.5327  86.87%
Epoch 067 | train 0.0769  97.37% | test(clean) 0.5372  86.81% | test(HF) 0.5371  86.81%
Epoch 068 | train 0.0727  97.50% | test(clean) 0.5527  86.69% | test(HF) 0.5529  86.69%
Epoch 069 | train 0.0713  97.54% | test(clean) 0.5434  86.91% | test(HF) 0.5432  86.93%
Epoch 070 | train 0.0668  97.70% | test(clean) 0.5405  86.91% | test(HF) 0.5403  86.94%
Epoch 071 | train 0.0634  97.83% | test(clean) 0.5410  86.94% | test(HF) 0.5410  86.96%
Epoch 072 | train 0.0630  97.86% | test(clean) 0.5433  86.81% | test(HF) 0.5434  86.81%
Epoch 073 | train 0.0615  97.96% | test(clean) 0.5439  87.13% | test(HF) 0.5437  87.16%
Epoch 074 | train 0.0629  97.80% | test(clean) 0.5401  87.00% | test(HF) 0.5399  87.00%
Epoch 075 | train 0.0576  98.09% | test(clean) 0.5452  87.05% | test(HF) 0.5450  87.01%
Epoch 076 | train 0.0581  98.04% | test(clean) 0.5413  87.06% | test(HF) 0.5414  87.07%
Epoch 077 | train 0.0568  98.09% | test(clean) 0.5423  87.11% | test(HF) 0.5423  87.13%
Epoch 078 | train 0.0581  98.08% | test(clean) 0.5419  87.14% | test(HF) 0.5419  87.14%
Epoch 079 | train 0.0555  98.17% | test(clean) 0.5415  87.18% | test(HF) 0.5415  87.15%
